"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Central Europe and the Baltics","CEB","Population ages 65 and above, total","SP.POP.65UP.TO","6594545","6826325","7076325","7347635","7632317","7911012","8210457","8507867","8794712","9080933","9364397","9655246","9969164","10284626","10599113","10910041","11241147","11557458","11813739","11957926","11971186","11879555","11668137","11408414","11209241","11131855","11277979","11513942","11798382","12054996","12268353","12535972","12776964","13035606","13285224","13500484","13784038","14039242","14267595","14472899","14603269","14780541","14948265","15140407","15292123","15390489","15509531","15553249","15576983","15658222","15778141","16031512","16347762","16715810","17109764","17510787","17986880","18456984","18929086","19407520","19862918","20257226",
"Switzerland","CHE","Population ages 65 and above, total","SP.POP.65UP.TO","543976","557674","574840","590172","603042","613363","628914","646126","663960","681371","696428","715021","735122","754961","773328","787239","803670","821351","840642","858949","875441","885798","892398","895528","899047","906189","916998","931339","947784","963805","979597","996963","1010307","1019744","1027335","1033856","1046750","1057907","1069785","1083164","1096897","1111085","1125884","1140711","1156416","1173842","1193982","1219435","1251934","1286843","1321734","1353000","1385872","1421469","1457616","1490610","1526368","1557747","1585642","1615411","1649371","1686138",
"Channel Islands","CHI","Population ages 65 and above, total","SP.POP.65UP.TO","14407","14591","14818","15072","15337","15607","15847","16100","16351","16606","16871","17191","17481","17740","17974","18178","18531","18808","19008","19137","19237","19396","19521","19634","19739","19857","20043","20220","20381","20484","20534","20678","20754","20782","20783","20773","20930","21080","21229","21387","21557","21878","22136","22316","22475","22718","23171","23618","23987","24273","24567","25146","25735","26289","26779","27241","27908","28670","29491","30321","31148","32006",
"Chile","CHL","Population ages 65 and above, total","SP.POP.65UP.TO","305156","316782","327908","338582","348910","358920","369807","380332","390667","400985","411440","424643","437791","450947","464179","477534","494287","511120","527882","544278","560233","578320","596259","614477","633471","653668","676969","700650","725904","754441","787155","822888","862388","904032","945360","985032","1024713","1063055","1100401","1137190","1173818","1211839","1248696","1285645","1324075","1364848","1406533","1450322","1496590","1545495","1597403","1648754","1702656","1761247","1827678","1904104","1980850","2067192","2159436","2251794","2340332","2440020",
"China","CHN","Population ages 65 and above, total","SP.POP.65UP.TO","24604942","24506581","24462536","24558486","24528808","24486185","25674798","26904327","28182576","29454226","30670664","32098200","33453776","34782914","36108504","37429714","39059632","40679629","42360214","44104813","45866191","47957992","50089615","52150310","54037922","55809578","57513608","59097827","60605526","62163844","63912757","65520712","67420802","69533392","71694024","73788987","76621226","79101030","81359560","83624513","86009518","88263699","90680607","93162743","95478238","97550467","99711068","101646383","103531377","105598689","108012365","111088511","114473856","118315346","123006419","128766192","136039935","144440124","153193786","161499224","168884275","175318996",
"Cote d'Ivoire","CIV","Population ages 65 and above, total","SP.POP.65UP.TO","95822","99788","103917","108181","112596","117167","121428","125722","130179","134934","140108","145559","151445","157732","164373","171337","178414","185630","193098","200981","209427","218259","227564","237295","247370","257802","269217","280588","292202","304420","317511","331305","345414","359912","374804","390116","406268","421904","436968","451377","465112","480647","494475","506806","517972","528239","542436","555886","568194","578628","586914","601435","613814","625192","637105","650354","671883","694160","716715","738867","760372","787557",
"Cameroon","CMR","Population ages 65 and above, total","SP.POP.65UP.TO","199245","204887","210165","215156","219939","224579","230419","236068","241512","246699","251647","258194","264421","270376","276106","281673","289057","296129","302947","309541","315944","324404","332413","340093","347589","355008","364553","373888","382973","391758","400273","410536","420135","429163","437716","445906","456188","465535","474152","482168","489663","500669","510582","519439","527255","534075","544613","554208","562956","570978","578426","590941","602703","613929","624914","635892","653576","670997","688121","704782","721027","742557",
"Congo, Dem. Rep.","COD","Population ages 65 and above, total","SP.POP.65UP.TO","447465","457851","467779","477387","486770","496029","510981","525790","540382","554689","568730","587108","604754","621985","639171","656563","678654","700694","722418","743440","763651","787927","810690","832421","853685","874928","901821","928948","957156","987345","1019936","1060115","1103152","1147255","1190331","1231494","1269678","1302561","1332313","1361362","1391266","1435161","1480278","1526640","1574151","1622753","1681968","1742269","1803782","1866653","1931142","2003937","2077958","2152599","2226948","2300848","2379777","2458051","2537041","2618419","2703564","2796737",
"Congo, Rep.","COG","Population ages 65 and above, total","SP.POP.65UP.TO","35304","36393","37460","38485","39436","40302","41467","42533","43521","44432","45276","46479","47590","48611","49549","50403","51679","52833","53892","54875","55808","57198","58524","59781","60948","62021","63630","65061","66362","67566","68708","70424","72010","73472","74833","76101","78121","79994","81738","83358","84862","87085","89151","91119","93050","94968","97690","100399","103040","105524","107818","111365","114701","117946","121252","124749","129788","135084","140639","146426","152451","159180",
"Colombia","COL","Population ages 65 and above, total","SP.POP.65UP.TO","468797","484165","499044","513711","528596","544013","563739","584181","605041","625916","646799","672084","696925","722147","748701","776999","811625","846751","882051","917136","951965","987450","1023550","1060510","1098466","1137795","1182578","1228140","1275183","1324649","1377162","1434293","1492970","1553733","1617206","1683847","1753959","1827769","1904525","1982789","2062095","2145062","2228118","2312220","2398784","2488953","2576847","2668569","2765357","2868224","2978556","3094758","3214997","3344365","3490010","3656570","3823311","4010161","4210288","4412670","4610275","4816185",
