"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bhutan","BTN","Population ages 0-14, total","SP.POP.0014.TO","94002","96674","98889","100959","103354","106334","109928","113989","118401","122877","127251","132280","137062","141722","146413","151213","156787","162304","167707","172858","177671","183418","188616","193522","198563","203987","210414","217199","223555","228298","230565","232028","231429","229737","228495","228830","229379","230806","232728","234415","235302","235216","234394","232809","230511","227585","225462","222804","219800","216704","213689","210443","207249","204227","201538","199286","197014","195482","194418","193370","192089","191503",
"Botswana","BWA","Population ages 0-14, total","SP.POP.0014.TO","219410","226629","235378","244914","253945","261831","269819","276993","283864","291321","299944","309470","319711","330782","342776","355761","369982","385443","401875","418734","435482","451147","466351","481362","496578","512273","527830","542735","556423","568456","578604","589465","599171","607556","614277","619316","625482","629586","632013","633675","635233","638255","642097","646664","651648","657060","664759","672540","680250","687790","694859","703051","711303","720000","729563","740482","749805","759403","768929","777845","785530","791588",
"Central African Republic","CAF","Population ages 0-14, total","SP.POP.0014.TO","570960","586405","601823","617265","632530","647542","666695","685108","702480","718312","732253","752011","769499","785733","802195","820017","839237","858970","879943","902932","928400","956758","987674","1019433","1049305","1075405","1109677","1139489","1167091","1196046","1228797","1261035","1295666","1331680","1367179","1400730","1438962","1475661","1510636","1543848","1575406","1616055","1653636","1688933","1723138","1756687","1799708","1841944","1880653","1911777","1932637","1962905","1984051","1999096","2013367","2031129","2039895","2051951","2066939","2084083","2102963","2117307",
"Canada","CAN","Population ages 0-14, total","SP.POP.0014.TO","6040212","6184734","6302723","6403116","6488386","6551050","6586492","6586960","6552014","6489225","6424984","6428568","6332207","6245024","6157471","6057084","5981437","5875082","5751375","5643120","5578695","5536691","5515548","5503708","5499795","5499194","5518158","5556572","5596278","5668678","5729961","5790497","5853882","5909629","5951548","5970934","5998254","5993554","5958026","5914914","5880513","5843483","5816282","5781391","5742896","5699388","5667703","5635757","5616013","5608093","5606922","5636891","5657280","5671952","5691799","5709424","5740699","5799742","5882322","5958253","6000465","6023809",
"Central Europe and the Baltics","CEB","Population ages 0-14, total","SP.POP.0014.TO","26671417","26777340","26719172","26557292","26352149","26091982","25734869","25509198","25303349","25038491","24682904","24517625","24316229","24107797","24014104","24093540","24279528","24591643","24967880","25310994","25575120","25877051","26079425","26195164","26282726","26364509","26297297","26274886","26225344","26026157","25661628","25277900","24725827","24134601","23538061","22947310","22287192","21687795","21123785","20546976","19855809","19127327","18421450","17797277","17236006","16759875","16413123","16143072","15952999","15828587","15690027","15654422","15567230","15468931","15416915","15432271","15357405","15406066","15519813","15602587","15584582","15531441",
"Switzerland","CHE","Population ages 0-14, total","SP.POP.0014.TO","1284913","1320149","1356107","1381993","1398903","1407526","1420758","1435648","1450115","1461263","1464158","1466446","1468651","1466812","1457682","1434961","1399068","1364126","1330484","1296555","1264576","1238935","1214917","1191374","1169871","1152199","1145058","1138341","1134078","1134921","1144306","1160808","1182381","1205773","1226919","1242205","1252919","1256092","1255366","1254394","1253186","1246793","1240744","1233087","1223098","1211456","1198712","1189116","1184742","1181642","1178302","1183517","1189009","1197905","1210765","1225242","1241980","1256999","1269568","1281205","1291911","1306217",
"Channel Islands","CHI","Population ages 0-14, total","SP.POP.0014.TO","23546","23857","23957","24102","24400","24799","25025","25130","25373","25791","26255","26389","26374","26221","25936","25525","25199","24780","24321","23863","23439","23051","22673","22370","22171","22072","22109","22185","22335","22519","22684","23059","23363","23656","23986","24340","24595","24853","25083","25244","25306","25146","24948","24786","24701","24688","24788","24871","24920","24912","24827","25152","25339","25450","25534","25627","25780","25851","25896","25956","26034","26114",
"Chile","CHL","Population ages 0-14, total","SP.POP.0014.TO","3208362","3281863","3358786","3434449","3501719","3556834","3613075","3655485","3687463","3714820","3740754","3760622","3779263","3795851","3808607","3816979","3821518","3824444","3825710","3825422","3823972","3825533","3824683","3824827","3830901","3845904","3861696","3888768","3923792","3961290","3998236","4042756","4082829","4118866","4151135","4178110","4200084","4211797","4213987","4207668","4193301","4159866","4124767","4085706","4040889","3991428","3944656","3896510","3848984","3805360","3767708","3744614","3722953","3706348","3697241","3695765","3696329","3698556","3699741","3694561","3677716","3653026",
"China","CHN","Population ages 0-14, total","SP.POP.0014.TO","265641893","263302831","268188604","278443818","287297670","294501997","304216738","310976161","316601067","323033758","330658357","340015460","348297760","355789052","361683794","365103747","365617362","364299712","361610403","357715831","352611901","345762315","339804660","333897749","327940857","323050142","321493844","321547481","322714350","323955099","324546177","328581656","328596758","326580984","325280651","325698399","320435561","319849182","320906193","319203340","312993544","307972185","298071840","285390312","273788404","265351992","258543763","254375415","252408571","251102769","249615182","248963911","248760149","248656195","248778057","249117662","249727483","250444126","250771444","250642076","249931427","248510399",
"Cote d'Ivoire","CIV","Population ages 0-14, total","SP.POP.0014.TO","1496544","1563742","1637231","1714639","1790734","1862846","1948997","2029803","2109467","2194271","2288607","2394011","2505001","2621774","2743501","2869871","3018611","3169423","3322759","3478404","3636087","3816119","3991850","4164073","4333356","4499529","4683395","4863081","5038739","5210494","5379225","5565258","5744950","5918788","6087944","6252845","6455630","6653492","6843056","7019420","7179531","7384318","7574369","7753577","7927471","8099732","8273826","8443747","8612013","8782124","8956696","9131421","9314150","9502696","9693489","9885344","10096345","10304486","10513274","10727584","10949219","11187357",
